Settings|Type|Default|Description
<code>clouddriver.grpc</code>|string (hostname)|<code>spin-clouddriver-grpc:9091</code>|Hostname of the Clouddriver or gRPC proxy endpoint.
<code>clouddriver.keepAliveHeartbeatSeconds</code>|integer|none|How often is the grpc ping sent.
<code>clouddriver.keepAliveTimeOutSeconds</code>|integer|none|Timeout before closing the grpc connection.
<code>clouddriver.insecure</code>|boolean|false|If true, you are connecting to a non TLS server.
<code>clouddriver.tls.serverName</code>|string|none|Server name on the remote certificate (override from the hostname).
<code>clouddriver.tls.insecureSkipVerify</code>|boolean|false|Do not verify the endpoint's certificate.
<code>clouddriver.tls.clientCertFile</code><br><code>clouddriver.tls.clientKeyFile</code><br><code>clouddriver.tls.clientKeyFilePassword</code>|string<br>string<br>string|none<br>none<br>none|Client certificate file for mTLS.<br>Client key file if not included in the certificate.<br>Password the key file if needed.
<code>clouddriver.tls.cacertFile</code>|string|none|If provided, verify endpoint certificate with the trust store. Otherwise, the system trust store is used.
<code>clouddriver.auth.token</code>|string|none|<span class='badge badge-primary'>0.3.0+</span> Optional bearer token added to each request back to the endpoint.
<code>clouddriver.auth.tokenCommand.command</code><br><code>clouddriver.auth.tokenCommand.args</code><br><code>clouddriver.auth.tokenCommand.format</code><br><code>clouddriver.auth.tokenCommand.refreshIntervalSeconds</code>|string<br>[]string<br>string<br>integer|none<br>none<br>[]<br>0|<span class='badge badge-primary'>0.3.0+</span> Allows to invoke a command every <code>refreshIntervalSeconds</code> seconds that outputs either the token (<code>format</code> is <code>raw</code>) or a JSON object with an attribute of <code>token</code> if <code>format</code> is <code>json</code> or left empty. <code>args</code> is the optional list of parameters to the command.
<code>clouddriver.noProxy</code>|boolean|false|<span class='badge badge-primary'>0.3.1+</span> Ignore the <code>HTTP_PROXY</code>, <code>HTTPS_PROXY</code>, and <code>NO_PROXY</code> environment variables when connecting back to the control plane (Armory Enterprise).
<code>kubernetes.noProxy</code>|boolean|false|<span class='badge badge-primary'>0.3.1+</span> Ignore the <code>HTTP_PROXY</code>, <code>HTTPS_PROXY</code>, and <code>NO_PROXY</code> environment variables when connecting to any Kubernetes cluster.
<code>kubernetes.reconnectTimeoutMs</code>|integer|5000|How long to wait before reconnecting to Armory Enterprise.
<code>kubernetes.accounts[].name</code>|string|none, required|Name of the Kubernetes cluster in Armory Enterprise.
<code>kubernetes.accounts[].kubeConfigFile</code>|string|none|Path to the kubeconfig file if not using <code>serviceAccount</code>.
<code>kubernetes.accounts[].insecure</code>|boolean|false|Do not verify the TLS certificate of the Kubernetes API server<br>Don’t use without a good reason.
<code>kubernetes.accounts[].context</code>|string|empty|If provided, use the given context of the configured kubeconfig.
<code>kubernetes.accounts[].oAuthScopes</code>|[]string|empty|List of OAuth scope when authenticating with gcp provider<br><a href='https://cloud.google.com/kubernetes-engine/docs/how-to/cluster-access-for-kubectl#authentication' target='new'>Cluster access for kubectl</a>.
<code>kubernetes.accounts[].serviceAccount</code>|boolean|false|If true and the Agent runs in Kubernetes - use the current service account to call to the current API server. In that mode, you don’t need to provide a kubeconfig file.
<code>kubernetes.accounts[].namespaces</code>|[]string|empty|<span class='badge badge-primary'>0.4.0+</span> Whitelist of namespaces to monitor.<br>This comes at a greater cost of multiplying the resources by the number of namespaces.
<code>kubernetes.accounts[].omitNamespaces</code>|[]string|empty|Blacklist of namespaces <br>This comes at a greater cost of multiplying the resources by the number of namespaces.<br>NOT CURRENTLY IMPLEMENTED
<code>kubernetes.accounts[].onlyNamespacedResources</code>|boolean|false|<span class='badge badge-primary'>0.4.0+</span> If true, the Agent ignores non-namespaced resources; namespaces must be whitelisted with <code>namespaces</code> setting and CRDs with <code>customResourceDefinitons</code>.
<code>kubernetes.accounts[].kinds</code>|[]string|empty|If not empty, only kinds in the list are cached. Use only the kind name in singular form and without group name (e.g. <code>deployment</code>, not <code>deployment.apps</code>). This also applies to CRDs.
<code>kubernetes.accounts[].omitKinds</code>|[]string|empty|List of kinds not to cache.
<code>kubernetes.accounts[].customResourceDefinitions</code>|[]{kind: <string>}|empty|<span class='badge badge-primary'>0.4.0+</span> List of CustomResourceDefinition to expose to Armory Enterprise. This is not needed if <code>onlyNamespacedResources</code> is left off. The format of <code>kind</code> is <code>Kind.group</code>.
<code>kubernetes.accounts[].metrics</code>|boolean|false|When true, sends pod metrics back to Armory Enterprise every 20s.
<code>kubernetes.accounts[].permissions</code>|list|empty|List of permissions (currently <code>READ</code> or <code>WRITE</code>) with a list of authorized roles. For more information, see <a href='#permissions-format'>Permissions format</a>.
