Setting;Type;Description
<code>go_gc_duration_seconds</code>;summary;Amount of time spent in garbage collection.
<code>go_goroutines</code>;gauge;Number of go routines.
<code>go_memstats_alloc_bytes</code>;gauge;Amount of memory allocation used by Go.
<code>go_memstats_alloc_bytes</code>;gauge;Number of bytes allocated and still in use.
<code>go_memstats_alloc_bytes_total</code>;counter;Total number of bytes allocated, even if freed.
<code>go_memstats_buck_hash_sys_bytes</code>;gauge;Number of bytes used by the profiling bucket hash table.
<code>go_memstats_frees_total</code>;counter;Total number of frees.
<code>go_memstats_gc_cpu_fraction</code>;gauge;The fraction of this program's available CPU time used by the GC since the program started.
<code>go_memstats_gc_sys_bytes</code>;gauge;Number of bytes used for garbage collection system metadata.
<code>go_memstats_heap_alloc_bytes</code>;gauge;Number of heap bytes allocated and still in use.
<code>go_memstats_heap_idle_bytes</code>;gauge;Number of heap bytes waiting to be used.
<code>go_memstats_heap_inuse_bytes</code>;gauge;Number of heap bytes that are in use.
<code>go_memstats_heap_objects</code>;gauge;Number of allocated objects.
<code>go_memstats_heap_released_bytes</code>;gauge;Number of heap bytes released to OS.
<code>go_memstats_heap_sys_bytes</code>;gauge;Number of heap bytes obtained from system.
<code>go_memstats_last_gc_time_seconds</code>;gauge;Number of seconds since 1970 of last garbage collection.
<code>go_memstats_lookups_total</code>;counter;Total number of pointer lookups.
<code>go_memstats_mallocs_total</code>;counter;Total number of mallocs.
<code>go_memstats_next_gc_bytes</code>;gauge;Number of heap bytes when next garbage collection will take place.
<code>go_memstats_sys_bytes</code>;gauge;Number of bytes obtained from system.
<code>go_threads</code>;gauge;Number of Go threads.
<code>kubesvc_connection_count</code>;counter;Number of connections.
<code>kubesvc_disconnection_total</code>;counter;Number of disconnections.
<code>kubesvc_events_bytes_sent_total</code>;counter;Amount of data sent by caching events.
<code>kubesvc_events_sent_total</code>;counter;Number of caching events sent.
<code>kubesvc_resource_agent_total</code>;counter;Number of watched/polled resources.
<code>process_cpu_seconds_total</code>;counter;Total user and system CPU time spent in seconds.
<code>process_max_fds</code>;gauge;Maximum number of open file descriptors.
<code>process_open_fds</code>;gauge;Number of open file descriptors.
<code>process_resident_memory_bytes</code>;gauge;Resident memory size in bytes.
<code>process_start_time_seconds</code>;gauge;Start time of the process since unix epoch in seconds.
<code>process_virtual_memory_bytes</code>;gauge;Virtual memory size in bytes.
<code>process_virtual_memory_max_bytes</code>;gauge;Maximum amount of virtual memory available in bytes.
