Metric Name|Base Unit|Description
amazonClientProvider_rateLimitDelayMillis||
authorization||
aws_request_clientExecuteTime|milliseconds|
aws_request_credentialsRequestTime|milliseconds|
aws_request_httpClientReceiveResponseTime|milliseconds|
aws_request_httpClientSendRequestTime|milliseconds|
aws_request_httpRequestTime|milliseconds|
aws_request_requestCount||
aws_request_requestMarshallTime|milliseconds|
aws_request_requestSigningTime|milliseconds|
aws_request_responseProcessingTime|milliseconds|
aws_request_retryPauseTime|milliseconds|
aws_request_throttling||
awsSdkClientSupplier_averageLoadPenalty||
awsSdkClientSupplier_hitCount||
awsSdkClientSupplier_loadExceptionCount||
awsSdkClientSupplier_missRate||
cats_sqlCache_evict_deleteOperations||
cats_sqlCache_evict_itemCount||
cats_sqlCache_evict_itemsDeleted||
cats_sqlCache_get_itemCount||
cats_sqlCache_get_relationshipsRequested||
cats_sqlCache_get_requestedSize||
cats_sqlCache_get_selectOperations||
cats_sqlCache_merge_deleteOperations||
cats_sqlCache_merge_itemCount||
cats_sqlCache_merge_itemsStored||
cats_sqlCache_merge_relationshipCount||
cats_sqlCache_merge_relationshipsStored||
cats_sqlCache_merge_selectOperations||
cats_sqlCache_merge_writeOperations||
cf_okhttp_requests|milliseconds|Timer of OkHttp operation
controller_invocations||
controller_invocations_contentLength||
controller_invocations_contentLength_summary||
executionTime|milliseconds|
health_kubernetes_errors||
http_server_requests|milliseconds|
jvm_buffer_count|buffers|An estimate of the number of buffers in the pool
jvm_gc_pause|milliseconds|Time spent in GC pause
jvm_memory_committed|bytes|The amount of memory in bytes that is committed for the Java virtual machine to use
jvm_memory_max|bytes|The maximum amount of memory in bytes that can be used for memory management
jvm_threads_daemon|threads|The current number of live daemon threads
jvm_threads_peak|threads|The peak live thread count since the Java virtual machine started or peak was reset
jvm_threads_states|threads|The current number of threads having BLOCKED state
kubernetes_api|milliseconds|
logback_events|events|Number of debug level events that made it to the logs
onDemand_cache|milliseconds|
onDemand_count||
onDemand_error||
onDemand_evict|milliseconds|
onDemand_read|milliseconds|
onDemand_store|milliseconds|
onDemand_total|milliseconds|
onDemand_transform|milliseconds|
operations|milliseconds|
orchestrations|milliseconds|
process_files_max|files|The maximum file descriptor count
reservedInstances_surplusByAccountClassic||
reservedInstances_surplusByAccountVpc||
reservedInstances_surplusOverall||
resilience4j_retry_calls||The number of failed calls after a retry attempt
sql_cacheCleanupAgent_dataTypeCleanupDuration|milliseconds|
sql_cacheCleanupAgent_dataTypeRecordsDeleted||
sql_healthProvider_invocations||
sql_taskCleanupAgent_deleted||
sql_taskCleanupAgent_timing|milliseconds|
system_load_average_1m||The sum of the number of runnable entities queued to available processors and the number of runnable entities running on the available processors averaged over a period of time
tasks||
tasks||
tomcat_sessions_active_current|sessions|
tomcat_sessions_expired|sessions|
tomcat_sessions_rejected|sessions|
