Metric Name|Base Unit|Description
canary_pipelines_initiated||
canary_telemetry_query||
controller_invocations|milliseconds|
controller_invocations_contentLength||
controller_invocations_contentLength_summary||
executions_active||
executions_completed||
executions_started||
http_server_requests|milliseconds|
jvm_gc_allocationRate||
jvm_gc_liveDataSize||
jvm_gc_maxDataSize||
jvm_gc_pause|milliseconds|
jvm_gc_promotionRate||
okhttp_requests|milliseconds|
orca_task_result||
queue_acknowledged_messages||
queue_depth||
queue_duplicate_messages||
queue_last_poll_age||
queue_last_retry_check_age||
queue_message_lag|milliseconds|
queue_orphaned_messages||
queue_pushed_messages||
queue_ready_depth||
queue_unacked_depth||
redis_command_invocation_exists||
redis_command_invocation_hdel||
redis_command_invocation_hget||
redis_command_invocation_hgetAll||
redis_command_invocation_hmset||
redis_command_invocation_hset||
redis_command_invocation_multi||
redis_command_invocation_sadd||
redis_command_invocation_srem||
redis_command_invocation_zadd||
redis_command_latency_exists||
redis_command_latency_exists||
redis_command_latency_hdel||
redis_command_latency_hget||
redis_command_latency_hgetAll||
redis_command_latency_hmset|milliseconds|
redis_command_latency_hset||
redis_command_latency_multi||
redis_command_latency_sadd||
redis_command_latency_srem||
redis_command_latency_zadd||
redis_command_payloadSize_hmset||
redis_command_payloadSize_hmset_summary||
redis_command_payloadSize_hset||
redis_command_payloadSize_hset_summary||
redis_command_payloadSize_sadd||
redis_command_payloadSize_sadd_summary||
redis_command_payloadSize_srem||
redis_command_payloadSize_srem_summary||
redis_connectionPool_maxIdle||
redis_connectionPool_minIdle||
redis_connectionPool_numActive||
redis_connectionPool_numIdle||
redis_connectionPool_numWaiters||
redis_executionRepository_store1_invocations||
redis_executionRepository_store1_timing|milliseconds|
redis_executionRepository_storeStage1_invocations||
redis_executionRepository_storeStage1_timing||
redis_executionRepository_updateStatus1_invocations||
redis_executionRepository_updateStatus1_timing|milliseconds|
retrieveById_redis_executionRepository_invocations||
retrieveById_redis_executionRepository_timing||
stage_invocations||
stage_invocations_duration||
task_completions_duration|milliseconds|
task_completions_duration_withType|milliseconds|
task_invocations_duration|milliseconds|
task_invocations_duration_withType|milliseconds|
threadpool_activeCount||
threadpool_blockingQueueSize||
threadpool_corePoolSize||
threadpool_maximumPoolSize||
threadpool_poolSize||
tomcat_sessions_active_current|sessions|
tomcat_sessions_active_max|sessions|
tomcat_sessions_alive_max|milliseconds|
tomcat_sessions_created|sessions|
tomcat_sessions_expired|sessions|
tomcat_sessions_rejected|sessions|
