Metric Name|Description
aws.request.httpClientGetConnectionTime|
controller.invocations|
controller.invocations.contentLength|
controller.invocations.contentLength.summary|
executions.active|
executions.completed|
executions.started|
executions.totalTime|
fiat.enabled|
fiat.getPermission|
fiat.legacyFallback.enabled|
fiat.permissionsCache.loads|
fiat.permissionsCache.loads-failure|
http.server.requests|
jdbc.connections.active|
jdbc.connections.idle|
jdbc.connections.max|
jvm.gc.allocationRate|
jvm.gc.pause|
jvm.gc.promotionRate|
mpt.requests|
okhttp.requests|
orca.task.result|
queue.acknowledged.messages|
queue.depth|
queue.duplicate.messages|
queue.last.poll.age|
queue.message.notfound|
queue.orphaned.messages|
queue.pushed.messages|
queue.retried.messages|
queue.unacked.depth|
redis.connectionPool.maxIdle|
redis.connectionPool.numActive|
redis.connectionPool.numIdle|
resilience4j.retry.calls|The number of successful calls after a retry attempt
resilience4j.retry.calls|The number of failed calls after a retry attempt
resilience4j.retry.calls|The number of failed calls without a retry attempt
resilience4j.retry.calls|The number of failed calls after a retry attempt
retrieveById.sql.executions.invocations|
retrieveById.sql.executions.timing|
sql.executions.addStage1.timing|
sql.executions.cancel4.invocations|
sql.executions.cancel4.timing|
sql.executions.countActiveExecutions.invocations|
sql.executions.countActiveExecutions.timing|
sql.executions.handlesPartition1.invocations|
sql.executions.handlesPartition1.timing|
sql.executions.retrieveByCorrelationId2.timing|
sql.executions.retrieveOrchestrationsForApplication3.timing|
sql.executions.retrievePipelinesForPipelineConfigId2.timing|
sql.executions.retrievePipelinesForPipelineConfigId2.timing|
sql.executions.store1.timing|
sql.executions.storeStage1.invocations|
sql.executions.storeStage1.timing|
sql.executions.updateStatus1.invocations|
sql.executions.updateStatus1.timing|
sql.healthProvider.invocations|
sql.healthProvider.invocations|
sql.pool.default.connectionAcquiredTiming|
sql.queueActivator.invocations|
stage.invocations|
stage.invocations.duration|
task.completions.duration.withType|
task.invocations.duration|
task.invocations.duration.withType|
tasks.serverGroupCacheForceRefresh|
threadpool.activeCount|
threadpool.blockingQueueSize|
threadpool.corePoolSize|
threadpool.maximumPoolSize|
threadpool.poolSize|
tomcat.sessions.active.current|
tomcat.sessions.active.max|
tomcat.sessions.alive.max|
tomcat.sessions.rejected|
