Metric Name|Base Unit|Description
bakesActive||
bakesCompleted|milliseconds|
controller_invocations||
controller_invocations_contentLength||
controller_invocations_contentLength_summary||
http_server_requests|milliseconds|
jvm_buffer_count|buffers|An estimate of the number of buffers in the pool
jvm_buffer_memory_used|bytes|An estimate of the memory that the Java virtual machine is using for this buffer pool
jvm_buffer_total_capacity|bytes|An estimate of the total capacity of the buffers in this pool
jvm_classes_loaded|classes|The number of classes that are currently loaded in the Java virtual machine
jvm_classes_unloaded|classes|The total number of classes unloaded since the Java virtual machine has started execution
jvm_gc_allocationRate||
jvm_gc_live_data_size|bytes|Size of old generation memory pool after a full GC
jvm_gc_liveDataSize||
jvm_gc_max_data_size|bytes|Max size of old generation memory pool
jvm_gc_maxDataSize||
jvm_gc_memory_allocated|bytes|Incremented for an increase in the size of the young generation memory pool after one GC to before the next
jvm_gc_memory_promoted|bytes|Count of positive increases in the size of the old generation memory pool before GC to after GC
jvm_gc_pause|milliseconds|Time spent in GC pause
jvm_gc_promotionRate||
jvm_memory_committed|bytes|The amount of memory in bytes that is committed for the Java virtual machine to use
jvm_memory_max|bytes|The maximum amount of memory in bytes that can be used for memory management
jvm_memory_used|bytes|The amount of used memory
jvm_threads_daemon|threads|The current number of live daemon threads
jvm_threads_live|threads|The current number of live threads including both daemon and non-daemon threads
jvm_threads_peak|threads|The peak live thread count since the Java virtual machine started or peak was reset
jvm_threads_states|threads|
logback_events|events|
okhttp_requests|milliseconds|
process_cpu_usage||The recent cpu usage for the Java Virtual Machine process
process_files_max|files|The maximum file descriptor count
process_files_open|files|The open file descriptor count
process_start_time|milliseconds|Start time of the process since unix epoch_
process_uptime|milliseconds|The uptime of the Java virtual machine
system_cpu_count||The number of processors available to the Java virtual machine
system_cpu_usage||The recent cpu usage for the whole system
system_load_average_1m||The sum of the number of runnable entities queued to available processors and the number of runnable entities running on the available processors averaged over a period of time
tomcat_sessions_active_current|sessions|
tomcat_sessions_active_max|sessions|
tomcat_sessions_alive_max|milliseconds|
tomcat_sessions_created|sessions|
tomcat_sessions_expired|sessions|
tomcat_sessions_rejected|sessions|
